Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot42,"RaiRaiTheRaichu",easy,13,Pending,"Railway Area","Railway Area: Objective #1","1","12:44:54","N/A",
Bot40,"jbs4bmx",normal,34,Failed,"Hot Delivery","Zone place_merch_020_2","1","12:44:54","12:54:40",
Bot39,"AgentTurbo",normal,21,Failed,"Emercom","Emercom: Objective #3","1","12:44:54","12:48:35",
Bot39,"AgentTurbo",normal,21,Failed,"Emercom","Emercom: Objective #2","1","12:48:40","12:48:48",
Bot39,"AgentTurbo",normal,21,Failed,"Emercom","Emercom: Objective #1","1","12:48:53","12:49:00",
Bot39,"AgentTurbo",normal,21,Failed,"Boss Hunter","Spawn Point (59.2 36.7 -28.9)","1","12:49:06","12:54:16",
Bot44,"Aethas",hard,42,Failed,"Pharmacy","Pharmacy: Objective #1","1","12:44:54","12:52:45",
Bot41,"kwebber321",easy,4,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","12:44:54","12:46:16",
Bot41,"kwebber321",easy,4,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","12:46:21","12:47:07",
Bot41,"kwebber321",easy,4,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","12:47:12","12:47:47",
Bot41,"kwebber321",easy,4,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","12:47:52","12:48:15",
Bot41,"kwebber321",easy,4,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","12:48:20","12:49:42",
Bot41,"kwebber321",easy,4,Completed,"Mantis","Mantis: Objective #2","1","12:49:47","12:56:04",
Bot41,"kwebber321",easy,4,Completed,"Mantis","Mantis: Objective #4","1","12:56:09","12:56:33",
Bot41,"kwebber321",easy,4,Completed,"Mantis","Mantis: Objective #1","1","12:56:38","12:58:54",
Bot41,"kwebber321",easy,4,Completed,"Mantis","Mantis: Objective #3","1","12:59:00","12:59:17",
Bot41,"kwebber321",easy,4,Failed,"Parking Tents","Parking Tents: Objective #1","1","12:59:22","12:59:55",
Bot41,"kwebber321",easy,4,Completed,"TTS","TTS: Objective #2","1","13:00:00","13:00:28",
Bot41,"kwebber321",easy,4,Completed,"TTS","TTS: Objective #1","1","13:00:34","13:00:45",
Bot41,"kwebber321",easy,4,Completed,"TTS","TTS: Objective #3","1","13:00:50","13:01:13",
Bot41,"kwebber321",easy,4,Completed,"TTS","TTS: Objective #4","1","13:01:18","13:01:27",
Bot41,"kwebber321",easy,4,Active,"Techlight","Techlight: Objective #1","1","13:01:32","N/A",
Bot43,"Big Chungus",hard,5,Failed,"IDEA Office","IDEA Office: Objective #3","1","12:44:54","12:45:18",
Bot43,"Big Chungus",hard,5,Completed,"IDEA Office","IDEA Office: Objective #1","2","12:45:23","12:48:41",
Bot43,"Big Chungus",hard,5,Completed,"IDEA Office","IDEA Office: Objective #2","3","12:48:46","12:49:16",
Bot43,"Big Chungus",hard,5,Completed,"Goshan North Office","Goshan North Office: Objective #2","1","12:49:21","12:54:42",
Bot43,"Big Chungus",hard,5,Completed,"Goshan North Office","Goshan North Office: Objective #1","3","12:54:48","12:55:37",
Bot43,"Big Chungus",hard,5,Completed,"KIBA Alarm Panel 2","KIBA Alarm Panel 2: Objective #1","2","12:55:42","13:00:18",
Bot43,"Big Chungus",hard,5,Active,"Mantis","Mantis: Objective #4","1","13:00:23","N/A",
