Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Big Sale,"Zone place_SALE_03_AVOKADO",1,15,35,"(-33.2, 27.2, 25.8)"
Big Sale,"Zone place_SALE_03_KOSTIN",1,15,35,"(-24.7, 27.1, -103.5)"
Big Sale,"Zone place_SALE_03_TREND",1,15,35,"(64.2, 27.1, -155.4)"
Big Sale,"Zone place_SALE_03_DINO",1,15,35,"(94.4, 27.1, -120.6)"
Big Sale,"Zone place_SALE_03_TOPBRAND",1,15,35,"(94.2, 27.1, 10.2)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_1",1,15,35,"(-208.4, 25.0, -74.4)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_2",1,15,35,"(274.3, 24.9, 14.5)"
The Blood of War - Part 1,"Zone place_WARBLOOD_04_3",1,15,35,"(-172.6, 25.0, -359.5)"
Database - Part 1,"Item Goshan cargo manifests",1,15,35,"(-76.5, 28.0, -157.5)"
Database - Part 1,"Item OLI cargo manifests",1,15,35,"(38.1, 27.1, 147.8)"
Database - Part 1,"Item IDEA cargo manifests",1,15,35,"(-1.5, 27.1, -292.9)"
Database - Part 2,"Item OLI cargo route documents",1,15,35,"(86.7, 27.1, 120.3)"
The Key to Success,"Item Clothes design handbook - Part 1",1,26,54,"(20.3, 36.7, -4.4)"
The Key to Success,"Item Clothes design handbook - Part 2",1,26,54,"(-30.9, 27.1, -136.2)"
Hot Delivery,"Zone place_merch_020_1",2,29,59,"(-49.8, 27.2, 24.6)"
Hot Delivery,"Zone place_merch_020_2",2,29,59,"(179.3, 21.4, -40.6)"
Minibus,"Zone place_merch_21_1",1,24,51,"(109.9, 23.5, 288.8)"
Minibus,"Zone place_merch_21_2",1,24,51,"(17.6, 23.6, -25.5)"
Minibus,"Zone place_merch_21_3",1,24,51,"(-49.8, 23.6, 59.0)"
Vitamins - Part 1,"Item Chemical container #2",1,22,48,"(19.8, 27.1, -106.5)"
Vitamins - Part 1,"Item Chemical container #3",1,22,48,"(24.1, 27.1, -80.8)"
Informed Means Armed,"Zone place_skier_11_3",2,24,51,"(7.8, 27.7, -36.5)"
Chumming,"Zone place_skier_12_1",2,24,51,"(-27.2, 27.1, 1.7)"
Provocation,"Zone quest_zone_keeper6_kiba_kill",2,35,70,"(-9.4, 21.4, -33.7)"
Provocation,"Zone quest_zone_keeper6_kiba_hide",2,35,70,"(-19.5, 28.1, -22.4)"
Provocation,"Zone quest_zone_keeper6_safe_hide",2,35,70,"(-49.3, 21.4, 44.3)"
Provocation,"Zone quest_zone_keeper6_cont_hide",2,35,70,"(138.8, 26.6, 274.4)"
Spawn Point Wander,"Spawn Point (-182.9 21.5 133.5)",1,0,99,"(-182.9, 21.5, 133.5)"
Spawn Point Wander,"Spawn Point (59.1 36.6 -87.4)",1,0,99,"(59.1, 36.6, -87.4)"
Spawn Point Wander,"Spawn Point (-337.7 21.5 261.5)",1,0,99,"(-337.7, 21.5, 261.5)"
Spawn Point Wander,"Spawn Point (-252.9 21.5 57.7)",1,0,99,"(-252.9, 21.5, 57.7)"
Spawn Point Wander,"Spawn Point (110.5 20.1 -353.2)",1,0,99,"(110.5, 20.1, -353.2)"
Spawn Point Wander,"Spawn Point (20.2 36.6 -80.6)",1,0,99,"(20.2, 36.6, -80.6)"
Spawn Point Wander,"Spawn Point (-156.9 27.1 -36.4)",1,0,99,"(-156.9, 27.1, -36.4)"
Spawn Point Wander,"Spawn Point (-203.9 21.5 -77.8)",1,0,99,"(-203.9, 21.5, -77.8)"
Spawn Point Wander,"Spawn Point (367.6 16.8 -188.9)",1,0,99,"(367.6, 16.8, -188.9)"
Spawn Point Wander,"Spawn Point (24.0 36.6 -38.1)",1,0,99,"(24.0, 36.6, -38.1)"
Spawn Point Wander,"Spawn Point (-87.5 27.1 140.0)",1,0,99,"(-87.5, 27.1, 140.0)"
