Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot44,"Sanote",easy,14,Completed,"Fishing Huts","Fishing Huts: Objective #1","1","21:41:51","21:43:37",
Bot44,"Sanote",easy,14,Completed,"Fishing Huts","Fishing Huts: Objective #3","1","21:43:42","21:44:05",
Bot44,"Sanote",easy,14,Archived,"Long Road South Car","Long Road South Car: Objective #1","1","21:44:10","21:45:01",
Bot44,"Sanote",easy,14,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","21:45:06","21:46:10",
Bot44,"Sanote",easy,14,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","21:46:16","21:51:25",
Bot44,"Sanote",easy,14,Active,"Resort Front Yard","Resort Front Yard: Objective #2","2","21:51:30","N/A",
Bot43,"pplatinumssEU",hard,32,Completed,"The Hermit","Zone qlight_hunt_fr_find","1","21:41:51","21:42:29",
Bot43,"pplatinumssEU",hard,32,Completed,"The Hermit","Item Sealed letter","1","21:42:34","21:42:38",
Bot43,"pplatinumssEU",hard,32,Completed,"Easy Job - Part 2","Zone qlight_pr1_heli2_kill","1","21:42:43","21:47:51",
Bot43,"pplatinumssEU",hard,32,Failed,"Reconnaissance","Zone qlight_extension_prapor1_exploration1","1","21:47:56","21:48:26",
Bot48,"igorir3",normal,5,Archived,"Long Road Construction","Long Road Construction: Objective #1","1","21:41:51","21:42:29",
Bot48,"igorir3",normal,5,Archived,"Long Road Construction","Long Road Construction: Objective #2","1","21:42:34","21:42:49",
Bot48,"igorir3",normal,5,Archived,"Long Road Construction","Long Road Construction: Objective #4","1","21:42:54","21:43:20",
Bot48,"igorir3",normal,5,Archived,"Long Road Construction","Long Road Construction: Objective #3","1","21:43:25","21:43:36",
Bot48,"igorir3",normal,5,Completed,"Convenience Store House","Convenience Store House: Objective #1","7","21:43:41","21:47:18",
Bot48,"igorir3",normal,5,Completed,"Main Road Bridge Underpass","Main Road Bridge Underpass: Objective #1","1","21:47:24","21:48:35",
Bot48,"igorir3",normal,5,Failed,"Pride Rock","Pride Rock: Objective #1","1","21:48:40","21:50:12",
Bot48,"igorir3",normal,5,Failed,"Long Road Sniping","Long Road Sniping: Objective #1","1","21:50:17","21:52:08",
Bot47,"Doge",normal,28,Pending,"Lost Contact","Zone qlight_find_scav_group1","1","21:41:51","N/A",
Bot45,"Tyfon",normal,2,Failed,"Pride Rock","Pride Rock: Objective #1","1","21:41:52","21:43:43",
Bot45,"Tyfon",normal,2,Failed,"Resort","Resort: Objective #3","1","21:43:49","21:47:45",
Bot50,"Cannuccia",easy,44,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz2","1","21:41:52","21:57:41",
Bot50,"Cannuccia",easy,44,Active,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","21:57:46","N/A",
Bot46,"VirtualHex",normal,19,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","21:41:52","21:51:09",
Bot46,"VirtualHex",normal,19,Failed,"Chalet","Chalet: Objective #9","1","21:51:14","21:53:54",
Bot46,"VirtualHex",normal,19,Completed,"Chalet","Chalet: Objective #7","1","21:53:59","21:57:28",
Bot46,"VirtualHex",normal,19,Completed,"Chalet","Chalet: Objective #2","1","21:57:33","21:57:39",
Bot46,"VirtualHex",normal,19,Completed,"Chalet","Chalet: Objective #8","1","21:57:45","21:58:02",
Bot46,"VirtualHex",normal,19,Completed,"Chalet","Chalet: Objective #1","1","21:58:08","21:58:33",
Bot46,"VirtualHex",normal,19,Completed,"Chalet","Chalet: Objective #4","1","21:58:38","21:58:54",
Bot46,"VirtualHex",normal,19,Active,"Long Road South Car","Long Road South Car: Objective #1","1","21:58:59","N/A",
Bot49,"Baliston",easy,42,Completed,"The Hermit","Item Sealed letter","1","21:41:52","21:45:29",
Bot49,"Baliston",easy,42,Failed,"Snatch","Item Forged Lightkeeper intelligence","1","21:45:35","21:53:34",
Bot51,"oroku",hard,37,Failed,"USEC Camp Building 3 Rush","USEC Camp Building 3 Rush: Objective #1","1","21:41:52","21:42:28",
