Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Easy Job - Part 1,"Zone qlight_pr1_heli1_find",1,18,41,"(-96.3, 0.7, -553.8)"
Easy Job - Part 1,"Zone qlight_pr1_heli1_mark",1,18,41,"(-97.0, 0.7, -553.2)"
Easy Job - Part 2,"Zone qlight_pr1_heli2_kill",1,18,41,"(-51.2, 1.8, -573.2)"
Lost Contact,"Zone qlight_find_scav_group1",1,26,54,"(-70.4, 26.8, 132.2)"
Energy Crisis,"Zone qlight_fuel_blood",1,25,53,"(-116.6, 9.2, -921.8)"
Energy Crisis,"Zone qlight_fuel_blood_bezovoz1",1,25,53,"(-73.7, 13.7, -875.5)"
Energy Crisis,"Zone qlight_fuel_blood_bezovoz2",1,25,53,"(-158.5, 8.2, -608.0)"
Energy Crisis,"Zone qlight_fuel_blood_bezovoz3",1,25,53,"(29.1, 8.1, -423.4)"
Corporate Secrets,"Item Water pump operation data",1,17,39,"(-112.0, 8.2, -750.2)"
Corporate Secrets,"Item Pumping station operation report",1,17,39,"(52.7, 8.2, -638.9)"
Revision - Lighthouse,"Zone qlight_mark_vech1",1,14,33,"(12.6, 3.6, -502.4)"
Revision - Lighthouse,"Zone qlight_mark_vech2",1,14,33,"(-65.8, 3.8, -691.3)"
Revision - Lighthouse,"Zone qlight_mark_vech3",1,14,33,"(65.5, 1.8, 515.2)"
Revision - Lighthouse,"Zone qlight_mark_vech4",1,14,33,"(-41.5, 11.2, 16.5)"
Missing Cargo,"Zone qlight_find_crushed_heli",1,30,60,"(-126.8, 21.0, 301.4)"
Missing Cargo,"Item Stolen military documents",1,30,60,"(-115.7, 39.9, 88.4)"
The Hermit,"Zone qlight_hunt_fr_find",1,20,45,"(-246.6, 3.1, -328.3)"
The Hermit,"Item Sealed letter",1,20,45,"(-248.5, 0.4, -328.3)"
Long Road,"Zone qlight_br_secure_road",1,20,45,"(0.0, 4.5, 47.7)"
Cargo X - Part 4,"Zone qlight16_peace_terra",1,12,29,"(136.9, 0.7, 47.9)"
Network Provider - Part 2,"Zone meh_42_radio_area_mark_1",1,35,70,"(-93.1, 3.0, -550.7)"
Network Provider - Part 2,"Zone meh_42_radio_area_mark_2",1,35,70,"(-115.9, 39.9, 88.4)"
Network Provider - Part 2,"Zone meh_42_radio_area_mark_3",1,35,70,"(71.1, 9.6, 392.5)"
Network Provider - Part 2,"Zone meh_42_radio_area_mark_4",1,35,70,"(127.6, 6.4, 293.0)"
Getting Acquainted,"Item Secure Flash drive V3",1,35,70,"(-197.5, 4.9, -651.5)"
Drug Trafficking,"Zone qlight_extension_medic1_exploration1",2,26,54,"(-119.2, 10.6, -841.6)"
Drug Trafficking,"Zone qlight_extension_medic1_hide1",2,26,54,"(-119.2, 10.6, -841.6)"
Reconnaissance,"Zone qlight_extension_prapor1_exploration1",1,18,41,"(53.2, 13.9, -623.6)"
Reconnaissance,"Zone qlight_extension_prapor1_exploration2",1,18,41,"(-98.2, 13.9, -754.1)"
Reconnaissance,"Zone qlight_extension_prapor1_exploration3",1,18,41,"(-196.6, 14.0, -666.8)"
Broadcast - Part 1,"Zone qlight_extension_mechanik1_exploration1",2,12,29,"(32.5, 8.2, -640.3)"
Broadcast - Part 1,"Zone qlight_extension_mechanik1_hide1",2,12,29,"(32.5, 8.2, -640.3)"
Make Amends,"Item Secure Flash drive V3",1,0,99,"(-197.5, 4.9, -651.5)"
Snatch,"Item Forged Lightkeeper intelligence",1,35,70,"(32.1, 4.8, -454.0)"
Spawn Point Wander,"Spawn Point (40.0 9.5 71.8)",1,0,99,"(40.0, 9.5, 71.8)"
Spawn Point Wander,"Spawn Point (48.2 1.6 -116.3)",1,0,99,"(48.2, 1.6, -116.3)"
Spawn Point Wander,"Spawn Point (-109.0 4.9 -729.5)",1,0,99,"(-109.0, 4.9, -729.5)"
Spawn Point Wander,"Spawn Point (-58.0 39.5 459.4)",1,0,99,"(-58.0, 39.5, 459.4)"
