Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Big Chungus",hard,42,Completed,"Pest Control","Zone eger_barracks_area_1","1","08:08:10","08:08:43",
Bot1,"Big Chungus",hard,42,Failed,"Pest Control","Zone eger_barracks_area_2","1","08:08:48","08:08:48",
Bot1,"Big Chungus",hard,42,Failed,"Documents","Item Military documents #2","1","08:08:53","08:09:27",
Bot2,"Kronzky",easy,43,Completed,"Reserve","Zone huntsman_029","1","08:08:11","08:09:40",
Bot2,"Kronzky",easy,43,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","08:09:45","08:10:01",
Bot2,"Kronzky",easy,43,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","08:10:06","08:10:24",
Bot2,"Kronzky",easy,43,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","08:10:29","08:10:36",
Bot2,"Kronzky",easy,43,Failed,"Hermetic Depot","Hermetic Depot: Objective #7","1","08:10:42","08:11:27",
Bot2,"Kronzky",easy,43,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","08:11:32","08:17:35",
Bot2,"Kronzky",easy,43,Failed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","08:17:40","08:19:26",
Bot3,"kikirio",easy,16,Failed,"Disease History","Item Medical record #2","1","08:08:15","08:09:03",
Bot3,"kikirio",easy,16,Failed,"Disease History","Item Medical record #1","1","08:09:08","08:15:36",
Bot3,"kikirio",easy,16,Failed,"The Bunker - Part 2","Zone prapor_025_area_1","1","08:09:47","08:15:36",
Bot3,"kikirio",easy,16,Failed,"The Bunker - Part 2","Zone prapor_025_area_5","1","08:10:07","08:15:36",
Bot4,"Faupi",easy,5,Failed,"Train Yard","Train Yard: Objective #2","1","08:08:15","08:19:26",
Bot7,"hughz001",easy,27,Pending,"The Bunker - Part 2","Zone prapor_025_area_3","1","08:08:16","N/A",
Bot5,"kova",easy,27,Failed,"Inventory Check","Zone baraholshik_arsenal_area_3","1","08:08:16","08:08:47",
Bot5,"kova",easy,27,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","08:08:52","08:15:42",
Bot9,"NORVINSK_EVANGELION",easy,21,Failed,"Pest Control","Zone eger_barracks_area_1","1","08:08:16","08:14:08",
Bot6,"MusicManiac",easy,22,Failed,"The Bunker - Part 1","Zone prapor_024_area_1","1","08:08:16","08:13:43",
Bot8,"YankeeNoodle742",easy,8,Failed,"D2 Switch","D2 Switch: Objective #1","1","08:08:16","08:16:10",
Bot10,"Bingus",easy,19,Failed,"Boss Hunter","Spawn Point (-85.1 -14.5 36.9)","1","08:08:16","08:12:08",
