Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Reserve,"Zone huntsman_029",1,20,45,"(78.8, -12.1, -117.1)"
The Bunker - Part 1,"Zone prapor_024_area_2",1,10,25,"(-114.9, -14.5, 34.5)"
The Bunker - Part 1,"Zone prapor_024_area_1",1,10,25,"(-116.8, -14.5, 31.7)"
The Bunker - Part 2,"Zone prapor_025_area_1",1,15,35,"(-90.3, -14.3, -5.1)"
The Bunker - Part 2,"Zone prapor_025_area_3",1,15,35,"(-149.4, -10.5, 50.0)"
The Bunker - Part 2,"Zone prapor_025_area_4",1,15,35,"(-107.0, -10.5, 77.5)"
The Bunker - Part 2,"Zone prapor_025_area_5",1,15,35,"(-73.0, -10.7, 30.0)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_2",1,14,33,"(-102.2, -5.0, -154.7)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_2",1,14,33,"(-100.6, -3.5, -156.5)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_11",1,14,33,"(78.9, -5.1, -31.2)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_11",1,14,33,"(78.9, -5.1, -31.2)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_12",1,14,33,"(103.8, -5.3, 63.9)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_12",1,14,33,"(101.7, -4.9, 64.4)"
Revision - Reserve,"Zone tadeush_bmp2_area_check_13",1,14,33,"(53.8, -3.4, 122.0)"
Revision - Reserve,"Zone tadeush_bmp2_area_mark_13",1,14,33,"(53.6, -3.2, 122.7)"
Revision - Reserve,"Zone tadeush_stryker_area_check_3",1,14,33,"(40.5, -0.8, -195.4)"
Revision - Reserve,"Zone tadeush_stryker_area_mark_3",1,14,33,"(41.8, 1.2, -194.6)"
Revision - Reserve,"Zone tadeush_stryker_area_check_4",1,14,33,"(-108.8, -6.9, -67.3)"
Revision - Reserve,"Zone tadeush_t90_area_check_1",1,14,33,"(-160.6, -3.4, -117.6)"
Classified Technologies,"Item T-90M Commander Control Panel",1,14,33,"(-88.8, -19.5, 151.8)"
Documents,"Item Military documents #1",1,19,43,"(-114.5, -14.5, 26.9)"
Documents,"Item Military documents #2",1,19,43,"(-114.2, -14.5, 40.5)"
Documents,"Item Military documents #3",1,19,43,"(-121.5, -14.5, 39.1)"
Disease History,"Item Medical record #1",1,15,35,"(-59.6, -3.8, -35.9)"
Disease History,"Item Medical record #2",1,15,35,"(-79.9, -3.8, -30.9)"
Surplus Goods,"Item MBT Integrated Navigation System",1,14,33,"(99.3, -6.9, 59.5)"
Back Door,"Zone mechanik_exit_area_1",1,14,33,"(-119.8, -18.4, 171.8)"
Inventory Check,"Zone baraholshik_arsenal_area_1",1,15,35,"(-167.4, 2.4, 31.4)"
Inventory Check,"Zone baraholshik_dejurniy_area_2",1,15,35,"(-165.0, -0.5, 34.5)"
Inventory Check,"Zone baraholshik_arsenal_area_3",1,15,35,"(-167.4, -3.3, 31.4)"
Inventory Check,"Zone baraholshik_arsenal_area_4",1,15,35,"(-125.5, 2.5, 95.7)"
Inventory Check,"Zone baraholshik_arsenal_area_5",1,15,35,"(-125.5, -3.4, 95.7)"
A Fuel Matter,"Zone baraholshik_fuel_area_2",1,15,35,"(11.9, -6.9, 73.8)"
A Fuel Matter,"Zone baraholshik_fuel_area_3",1,15,35,"(170.0, -6.8, -97.9)"
Pest Control,"Zone eger_barracks_area_1",1,20,45,"(-102.9, -6.3, 92.5)"
Pest Control,"Zone eger_barracks_area_2",1,20,45,"(-163.7, -9.2, 55.9)"
Snatch,"Zone tadeush_bmp2_area_mark_12",2,35,70,"(101.7, -4.9, 64.4)"
Snatch,"Item Lightkeeper intelligence",1,35,70,"(102.5, -6.9, 66.2)"
Spawn Point Wander,"Spawn Point (148.7 -10.8 38.1)",1,0,99,"(148.7, -10.8, 38.1)"
Spawn Point Wander,"Spawn Point (141.0 -6.5 -223.1)",1,0,99,"(141.0, -6.5, -223.1)"
Spawn Point Wander,"Spawn Point (-85.1 -14.5 36.9)",1,0,99,"(-85.1, -14.5, 36.9)"
Spawn Point Wander,"Spawn Point (-118.6 -6.9 -3.0)",1,0,99,"(-118.6, -6.9, -3.0)"
Spawn Point Wander,"Spawn Point (-261.4 -10.8 -64.0)",1,0,99,"(-261.4, -10.8, -64.0)"
Spawn Point Wander,"Spawn Point (-94.9 -14.8 3.4)",1,0,99,"(-94.9, -14.8, 3.4)"
Spawn Point Wander,"Spawn Point (62.3 -6.9 -174.5)",1,0,99,"(62.3, -6.9, -174.5)"
Spawn Point Wander,"Spawn Point (65.8 -6.8 -39.2)",1,0,99,"(65.8, -6.8, -39.2)"
Spawn Point Wander,"Spawn Point (233.9 -10.8 -2.0)",1,0,99,"(233.9, -10.8, -2.0)"
Spawn Point Wander,"Spawn Point (60.7 -6.7 63.8)",1,0,99,"(60.7, -6.7, 63.8)"
Spawn Point Wander,"Spawn Point (142.9 -10.8 40.5)",1,0,99,"(142.9, -10.8, 40.5)"
Spawn Point Wander,"Spawn Point (-218.1 -10.9 51.1)",1,0,99,"(-218.1, -10.9, 51.1)"
Spawn Point Wander,"Spawn Point (164.5 -6.8 -234.9)",1,0,99,"(164.5, -6.8, -234.9)"
Spawn Point Wander,"Spawn Point (-140.2 -7.0 -35.5)",1,0,99,"(-140.2, -7.0, -35.5)"
Spawn Point Wander,"Spawn Point (147.1 -10.8 34.6)",1,0,99,"(147.1, -10.8, 34.6)"
Spawn Point Wander,"Spawn Point (148.8 -10.8 36.2)",1,0,99,"(148.8, -10.8, 36.2)"
Spawn Point Wander,"Spawn Point (189.6 -6.8 -101.5)",1,0,99,"(189.6, -6.8, -101.5)"
Spawn Point Wander,"Spawn Point (217.3 -6.9 -172.0)",1,0,99,"(217.3, -6.9, -172.0)"
Spawn Point Wander,"Spawn Point (164.8 -5.2 -161.4)",1,0,99,"(164.8, -5.2, -161.4)"
Spawn Point Wander,"Spawn Point (219.2 -6.9 -174.0)",1,0,99,"(219.2, -6.9, -174.0)"
Spawn Point Wander,"Spawn Point (-99.9 -14.5 17.4)",1,0,99,"(-99.9, -14.5, 17.4)"
Spawn Point Wander,"Spawn Point (-219.4 -10.9 50.4)",1,0,99,"(-219.4, -10.9, 50.4)"
Spawn Point Wander,"Spawn Point (73.4 -15.5 -38.3)",1,0,99,"(73.4, -15.5, -38.3)"
Spawn Point Wander,"Spawn Point (-132.3 -11.7 80.7)",1,0,99,"(-132.3, -11.7, 80.7)"
Spawn Point Wander,"Spawn Point (63.1 -6.9 -172.0)",1,0,99,"(63.1, -6.9, -172.0)"
Spawn Point Wander,"Spawn Point (-267.8 -10.9 -75.0)",1,0,99,"(-267.8, -10.9, -75.0)"
Spawn Point Wander,"Spawn Point (-29.7 -6.8 -12.5)",1,0,99,"(-29.7, -6.8, -12.5)"
Spawn Point Wander,"Spawn Point (-213.8 -10.9 50.9)",1,0,99,"(-213.8, -10.9, 50.9)"
Spawn Point Wander,"Spawn Point (-79.0 21.3 193.8)",1,0,99,"(-79.0, 21.3, 193.8)"
Spawn Point Wander,"Spawn Point (171.6 -5.2 -167.7)",1,0,99,"(171.6, -5.2, -167.7)"
Spawn Point Wander,"Spawn Point (58.4 -12.2 -155.2)",1,0,99,"(58.4, -12.2, -155.2)"
Spawn Point Wander,"Spawn Point (38.6 -0.5 -184.2)",1,0,99,"(38.6, -0.5, -184.2)"
Spawn Point Wander,"Spawn Point (156.5 -6.8 -234.9)",1,0,99,"(156.5, -6.8, -234.9)"
Spawn Point Wander,"Spawn Point (-215.4 -10.9 50.9)",1,0,99,"(-215.4, -10.9, 50.9)"
Spawn Point Wander,"Spawn Point (243.1 -7.1 -88.1)",1,0,99,"(243.1, -7.1, -88.1)"
Spawn Point Wander,"Spawn Point (41.4 -12.2 -110.2)",1,0,99,"(41.4, -12.2, -110.2)"
Spawn Point Wander,"Spawn Point (57.9 -6.7 64.8)",1,0,99,"(57.9, -6.7, 64.8)"
Spawn Point Wander,"Spawn Point (186.8 -6.8 -105.0)",1,0,99,"(186.8, -6.8, -105.0)"
Spawn Point Wander,"Spawn Point (-27.9 12.6 184.2)",1,0,99,"(-27.9, 12.6, 184.2)"
Spawn Point Wander,"Spawn Point (-105.6 -14.5 21.8)",1,0,99,"(-105.6, -14.5, 21.8)"
Spawn Point Wander,"Spawn Point (-145.4 -6.9 53.3)",1,0,99,"(-145.4, -6.9, 53.3)"
Spawn Point Wander,"Spawn Point (-154.1 -6.2 -9.2)",1,0,99,"(-154.1, -6.2, -9.2)"
Spawn Point Wander,"Spawn Point (23.6 -6.9 8.2)",1,0,99,"(23.6, -6.9, 8.2)"
Spawn Point Wander,"Spawn Point (-74.1 -6.8 27.0)",1,0,99,"(-74.1, -6.8, 27.0)"
Spawn Point Wander,"Spawn Point (-37.5 -6.8 -172.3)",1,0,99,"(-37.5, -6.8, -172.3)"
Spawn Point Wander,"Spawn Point (-117.6 -14.6 58.7)",1,0,99,"(-117.6, -14.6, 58.7)"
Spawn Point Wander,"Spawn Point (56.7 -6.7 66.7)",1,0,99,"(56.7, -6.7, 66.7)"
Spawn Point Wander,"Spawn Point (-90.4 -14.5 14.5)",1,0,99,"(-90.4, -14.5, 14.5)"
Spawn Point Wander,"Spawn Point (-27.9 12.6 181.6)",1,0,99,"(-27.9, 12.6, 181.6)"
Spawn Point Wander,"Spawn Point (-266.8 -6.2 23.1)",1,0,99,"(-266.8, -6.2, 23.1)"
Spawn Point Wander,"Spawn Point (32.5 -6.8 -11.5)",1,0,99,"(32.5, -6.8, -11.5)"
Spawn Point Wander,"Spawn Point (168.4 -6.8 -234.9)",1,0,99,"(168.4, -6.8, -234.9)"
Spawn Point Wander,"Spawn Point (43.1 -6.8 -32.7)",1,0,99,"(43.1, -6.8, -32.7)"
