Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"NastyInc",hard,6,Failed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","11:51:54","11:52:05",
Bot5,"iDkGK",normal,27,Failed,"Chumming","Zone place_skier_12_2","1","11:51:56","11:56:11",
Bot6,"Nomad_420",normal,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","11:51:56","11:57:24",
Bot6,"Nomad_420",normal,23,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","11:57:30","11:58:04",
Bot7,"Nomad_420",normal,16,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","11:51:58","11:53:35",
Bot7,"Nomad_420",normal,16,Failed,"Farming - Part 3","Item Package of graphics cards","1","11:53:40","11:56:12",
Bot7,"Nomad_420",normal,16,Failed,"Delivery From the Past","Item Secure Folder 0022","1","11:56:18","11:58:15",
Bot7,"Nomad_420",normal,16,Archived,"Big Red","Big Red: Objective #5","1","11:58:20","11:59:07",
Bot7,"Nomad_420",normal,16,Archived,"Big Red","Big Red: Objective #1","1","11:59:12","11:59:33",
Bot7,"Nomad_420",normal,16,Archived,"Big Red","Big Red: Objective #4","1","11:59:39","12:00:24",
Bot7,"Nomad_420",normal,16,Archived,"Big Red","Big Red: Objective #3","1","12:00:29","12:01:00",
Bot7,"Nomad_420",normal,16,Archived,"Big Red","Big Red: Objective #2","1","12:01:05","12:01:17",
Bot7,"Nomad_420",normal,16,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","12:01:22","12:02:06",
Bot7,"Nomad_420",normal,16,Failed,"Golden Swag","Item Golden Zibbo lighter","1","12:02:07","12:07:56",
Bot7,"Nomad_420",normal,16,Completed,"Pharmacist","Zone room114","1","12:08:01","12:09:10",
Bot8,"SovietWalrus",easy,37,Failed,"Boss Hunter","Spawn Point (107.1 16.2 -47.9)","1","11:51:59","11:59:04",
Bot8,"SovietWalrus",easy,37,Failed,"Boss Hunter","Spawn Point (175.3 1.2 -5.4)","1","11:52:35","11:58:54",
Bot8,"SovietWalrus",easy,37,Failed,"Boss Hunter","Spawn Point (213.6 1.2 1.9)","1","11:58:59","11:59:04",
Bot11,"jehree",normal,3,Completed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","11:52:00","12:06:49",
Bot11,"jehree",normal,3,Completed,"Fortress","Fortress: Objective #4","1","12:06:54","12:07:56",
Bot11,"jehree",normal,3,Completed,"Fortress","Fortress: Objective #7","1","12:08:01","12:08:11",
Bot11,"jehree",normal,3,Completed,"Fortress","Fortress: Objective #5","1","12:08:16","12:08:56",
Bot11,"jehree",normal,3,Completed,"Fortress","Fortress: Objective #8","1","12:09:01","12:10:08",
Bot10,"Crackbone",normal,12,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","11:52:00","11:53:12",
Bot10,"Crackbone",normal,12,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","11:53:17","11:57:19",
Bot13,"Carl",normal,6,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","11:52:03","11:52:16",
Bot13,"Carl",normal,6,Failed,"BP Depot","Zone fuel2","1","11:52:21","11:53:27",
Bot14,"Mihai",normal,40,Failed,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","11:52:03","11:54:23",
Bot18,"Yakhmet",easy,28,Completed,"Cargo X - Part 2","Item Secure Folder 0013","1","11:52:09","11:58:22",
Bot18,"Yakhmet",easy,28,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","11:58:27","11:59:26",
Bot18,"Yakhmet",easy,28,Completed,"Old Gas","Old Gas: Objective #2","1","11:59:31","12:02:19",
Bot18,"Yakhmet",easy,28,Completed,"Old Gas","Old Gas: Objective #1","1","12:02:25","12:02:44",
Bot18,"Yakhmet",easy,28,Completed,"Giving Tree","Giving Tree: Objective #1","1","12:02:49","12:03:29",
Bot18,"Yakhmet",easy,28,Active,"Fortress Sniping","Fortress Sniping: Objective #5","2","12:03:34","N/A",
Bot19,"OutsiderH",easy,16,Failed,"Pharmacist","Zone vaz_feld","1","11:52:09","11:59:32",
Bot19,"OutsiderH",easy,16,Completed,"Pharmacist","Item Carbon case","1","11:59:37","12:08:27",
Bot19,"OutsiderH",easy,16,Active,"Dorms 3 Story","Dorms 3 Story: Objective #7","1","12:08:32","N/A",
