Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Delivery From the Past,"Item Secure Folder 0022",1,5,17,"(-202.9, 7.1, -103.0)"
Bad Rep Evidence,"Item Secure Folder 0031",1,6,18,"(204.1, 3.9, 12.9)"
Shaking up the Teller,"Zone room214",1,9,24,"(176.4, 2.9, 184.2)"
Shaking up the Teller,"Item Bank case",1,9,24,"(178.2, 2.9, 149.5)"
Operation Aquarius - Part 1,"Zone room206_water",1,6,18,"(232.2, 2.9, 138.9)"
Pharmacist,"Zone vaz_feld",1,10,25,"(579.4, 0.8, -1.8)"
Pharmacist,"Zone room114",1,10,25,"(235.5, -0.1, 160.1)"
Pharmacist,"Item Carbon case",1,10,25,"(238.5, -0.1, 160.2)"
The Extortionist,"Zone dead_posylni",1,7,20,"(27.5, 1.5, -110.2)"
The Extortionist,"Zone vremyan_case",1,7,20,"(368.9, 1.3, -49.9)"
The Extortionist,"Item Secure Folder 0048",1,7,20,"(367.8, 1.3, -50.7)"
Golden Swag,"Zone extraction_zone_zibbo",2,8,22,"(-193.0, 1.5, -206.9)"
Golden Swag,"Item Golden Zibbo lighter",1,8,22,"(180.8, 5.9, 149.7)"
Chemical - Part 1,"Zone bomj_place",1,10,25,"(487.9, 5.8, -139.8)"
Chemical - Part 1,"Item Secure Folder 0013",1,10,25,"(498.1, 5.8, -141.4)"
Chemical - Part 2,"Item Sliderkey Secure Flash drive",1,10,25,"(193.6, 2.9, 170.9)"
Chemical - Part 2,"Item Sealed letter with a TG logo",1,10,25,"(194.8, 5.9, 173.1)"
Chemical - Part 4,"Zone gazel",1,11,27,"(480.8, 4.8, -76.7)"
Out of Curiosity,"Zone gazel",1,11,27,"(480.8, 4.8, -76.7)"
Big Customer,"Zone gazel",1,11,27,"(480.8, 4.8, -76.7)"
BP Depot,"Zone fuel1",1,5,17,"(429.9, 4.5, 16.2)"
BP Depot,"Zone fuel2",1,5,17,"(101.4, 4.6, -14.1)"
