Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #6","1","20:21:41","20:22:17",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #7","1","20:22:22","20:22:22",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #4","1","20:22:27","20:24:29",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #5","1","20:24:34","20:25:00",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #3","1","20:25:05","20:25:16",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #2","1","20:25:21","20:25:34",
Bot1,"Goewert",normal,18,Failed,"Green Room","Green Room: Objective #1","1","20:25:39","20:28:18",
Bot1,"Goewert",normal,18,Completed,"Cargo Block Elevator Power Switch","Cargo Block Elevator Power Switch: Objective #1","2","20:28:23","20:28:32",
Bot1,"Goewert",normal,18,Failed,"Negotiation Room","Negotiation Room: Objective #1","1","20:28:37","20:30:57",
Bot2,"Glukhar_111",normal,16,Failed,"Green Room","Green Room: Objective #6","1","20:21:41","20:30:47",
Bot3,"Kaeno",normal,8,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","20:21:42","20:25:49",
Bot4,"TheRedCap",easy,16,Failed,"Main Working Area West","Main Working Area West: Objective #4","1","20:21:43","20:26:37",
Bot4,"TheRedCap",easy,16,Completed,"Main Working Area West","Main Working Area West: Objective #5","1","20:22:50","20:23:19",
Bot4,"TheRedCap",easy,16,Completed,"Main Working Area West","Main Working Area West: Objective #6","1","20:23:24","20:24:12",
Bot4,"TheRedCap",easy,16,Failed,"Main Working Area West","Main Working Area West: Objective #2","1","20:24:18","20:26:37",
Bot4,"TheRedCap",easy,16,Completed,"Main Working Area West","Main Working Area West: Objective #1","1","20:24:46","20:25:08",
Bot4,"TheRedCap",easy,16,Failed,"Main Working Area West","Main Working Area West: Objective #3","1","20:25:13","20:26:37",
Bot5,"ChazLTK",easy,26,Failed,"Boss Hunter","Spawn Point (-116.4 0.0 -256.5)","1","20:21:44","20:26:34",
Bot6,"Sanote",normal,36,Failed,"Violet Room","Violet Room: Objective #1","1","20:21:45","20:22:02",
Bot6,"Sanote",normal,36,Failed,"Security Office","Security Office: Objective #2","1","20:22:07","20:23:39",
Bot7,"IhanaMies",normal,11,Failed,"Lecture Hall","Lecture Hall: Objective #2","1","20:21:46","20:23:53",
