Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
TerraGroup Employee,"Zone peace_027_area",1,23,50,"(-131.9, 4.1, -336.9)"
TerraGroup Employee,"Item Flash drive marked with blue tape",1,23,50,"(-133.0, 4.1, -335.9)"
Following the Bread Crumbs,"Zone quest_zone_keeper7_saferoom",1,35,70,"(-182.9, 0.4, -312.9)"
Following the Bread Crumbs,"Zone quest_zone_keeper7_test",1,35,70,"(-131.6, 0.8, -357.8)"
Following the Bread Crumbs,"Item Secured tape",1,35,70,"(-177.8, 4.1, -343.5)"
Spawn Point Wander,"Spawn Point (-118.3 -4.0 -403.1)",1,0,99,"(-118.3, -4.0, -403.1)"
Spawn Point Wander,"Spawn Point (-255.6 4.1 -376.4)",1,0,99,"(-255.6, 4.1, -376.4)"
Spawn Point Wander,"Spawn Point (-279.1 0.1 -338.9)",1,0,99,"(-279.1, 0.1, -338.9)"
Spawn Point Wander,"Spawn Point (-115.4 -4.0 -321.8)",1,0,99,"(-115.4, -4.0, -321.8)"
Spawn Point Wander,"Spawn Point (-116.6 0.0 -253.9)",1,0,99,"(-116.6, 0.0, -253.9)"
Spawn Point Wander,"Spawn Point (-276.0 -4.0 -358.4)",1,0,99,"(-276.0, -4.0, -358.4)"
Spawn Point Wander,"Spawn Point (-178.2 0.1 -415.3)",1,0,99,"(-178.2, 0.1, -415.3)"
Spawn Point Wander,"Spawn Point (-116.4 0.0 -256.5)",1,0,99,"(-116.4, 0.0, -256.5)"
Spawn Point Wander,"Spawn Point (-120.6 0.0 -256.7)",1,0,99,"(-120.6, 0.0, -256.7)"
Spawn Point Wander,"Spawn Point (-183.6 2.7 -227.1)",1,0,99,"(-183.6, 2.7, -227.1)"
Spawn Point Wander,"Spawn Point (-254.8 -4.0 -298.5)",1,0,99,"(-254.8, -4.0, -298.5)"
Spawn Point Wander,"Spawn Point (-275.9 -4.0 -355.3)",1,0,99,"(-275.9, -4.0, -355.3)"
Spawn Point Wander,"Spawn Point (-250.9 4.1 -281.8)",1,0,99,"(-250.9, 4.1, -281.8)"
Spawn Point Wander,"Spawn Point (-276.3 -4.0 -362.3)",1,0,99,"(-276.3, -4.0, -362.3)"
Spawn Point Wander,"Spawn Point (-116.0 0.0 -336.4)",1,0,99,"(-116.0, 0.0, -336.4)"
Spawn Point Wander,"Spawn Point (-118.1 -4.0 -401.4)",1,0,99,"(-118.1, -4.0, -401.4)"
Spawn Point Wander,"Spawn Point (-170.7 -4.0 -344.6)",1,0,99,"(-170.7, -4.0, -344.6)"
Spawn Point Wander,"Spawn Point (-127.8 4.2 -382.3)",1,0,99,"(-127.8, 4.2, -382.3)"
Spawn Point Wander,"Spawn Point (-115.5 -4.0 -319.7)",1,0,99,"(-115.5, -4.0, -319.7)"
Spawn Point Wander,"Spawn Point (-216.9 -4.0 -386.7)",1,0,99,"(-216.9, -4.0, -386.7)"
Spawn Point Wander,"Spawn Point (-206.7 4.2 -291.9)",1,0,99,"(-206.7, 4.2, -291.9)"
Spawn Point Wander,"Spawn Point (-118.5 -4.0 -399.5)",1,0,99,"(-118.5, -4.0, -399.5)"
Spawn Point Wander,"Spawn Point (-126.9 -5.0 -266.2)",1,0,99,"(-126.9, -5.0, -266.2)"
Spawn Point Wander,"Spawn Point (-118.2 -4.0 -326.5)",1,0,99,"(-118.2, -4.0, -326.5)"
Spawn Point Wander,"Spawn Point (-110.1 4.2 -413.7)",1,0,99,"(-110.1, 4.2, -413.7)"
Spawn Point Wander,"Spawn Point (-279.4 -4.0 -348.9)",1,0,99,"(-279.4, -4.0, -348.9)"
Spawn Point Wander,"Spawn Point (-170.9 -4.0 -340.1)",1,0,99,"(-170.9, -4.0, -340.1)"
Spawn Point Wander,"Spawn Point (-202.2 0.0 -393.9)",1,0,99,"(-202.2, 0.0, -393.9)"
Spawn Point Wander,"Spawn Point (-260.3 0.0 -390.6)",1,0,99,"(-260.3, 0.0, -390.6)"
Spawn Point Wander,"Spawn Point (-168.2 0.1 -417.0)",1,0,99,"(-168.2, 0.1, -417.0)"
Spawn Point Wander,"Spawn Point (-134.4 4.2 -341.1)",1,0,99,"(-134.4, 4.2, -341.1)"
Spawn Point Wander,"Spawn Point (-264.7 -4.0 -390.3)",1,0,99,"(-264.7, -4.0, -390.3)"
Spawn Point Wander,"Spawn Point (-219.2 -4.0 -385.4)",1,0,99,"(-219.2, -4.0, -385.4)"
Spawn Point Wander,"Spawn Point (-122.7 8.2 -333.4)",1,0,99,"(-122.7, 8.2, -333.4)"
Spawn Point Wander,"Spawn Point (-207.1 4.2 -295.2)",1,0,99,"(-207.1, 4.2, -295.2)"
Spawn Point Wander,"Spawn Point (-258.0 0.0 -385.5)",1,0,99,"(-258.0, 0.0, -385.5)"
Spawn Point Wander,"Spawn Point (-116.1 0.0 -339.4)",1,0,99,"(-116.1, 0.0, -339.4)"
Spawn Point Wander,"Spawn Point (-205.3 0.0 -390.6)",1,0,99,"(-205.3, 0.0, -390.6)"
Spawn Point Wander,"Spawn Point (-244.1 2.7 -452.9)",1,0,99,"(-244.1, 2.7, -452.9)"
Spawn Point Wander,"Spawn Point (-213.1 0.1 -378.8)",1,0,99,"(-213.1, 0.1, -378.8)"
Spawn Point Wander,"Spawn Point (-170.6 0.1 -416.8)",1,0,99,"(-170.6, 0.1, -416.8)"
Spawn Point Wander,"Spawn Point (-167.9 0.1 -419.6)",1,0,99,"(-167.9, 0.1, -419.6)"
Spawn Point Wander,"Spawn Point (-278.5 -4.0 -352.0)",1,0,99,"(-278.5, -4.0, -352.0)"
Spawn Point Wander,"Spawn Point (-125.4 -5.0 -264.9)",1,0,99,"(-125.4, -5.0, -264.9)"
Spawn Point Wander,"Spawn Point (-276.1 0.1 -333.3)",1,0,99,"(-276.1, 0.1, -333.3)"
Spawn Point Wander,"Spawn Point (-253.2 4.1 -282.7)",1,0,99,"(-253.2, 4.1, -282.7)"
Spawn Point Wander,"Spawn Point (-279.4 0.1 -334.9)",1,0,99,"(-279.4, 0.1, -334.9)"
Spawn Point Wander,"Spawn Point (-115.1 -4.0 -328.6)",1,0,99,"(-115.1, -4.0, -328.6)"
Spawn Point Wander,"Spawn Point (-219.4 -4.0 -383.1)",1,0,99,"(-219.4, -4.0, -383.1)"
Spawn Point Wander,"Spawn Point (-248.8 4.2 -362.2)",1,0,99,"(-248.8, 4.2, -362.2)"
Spawn Point Wander,"Spawn Point (-115.2 -4.0 -327.2)",1,0,99,"(-115.2, -4.0, -327.2)"
Spawn Point Wander,"Spawn Point (-263.0 0.1 -388.2)",1,0,99,"(-263.0, 0.1, -388.2)"
Spawn Point Wander,"Spawn Point (-253.2 4.1 -279.9)",1,0,99,"(-253.2, 4.1, -279.9)"
Spawn Point Wander,"Spawn Point (-122.5 8.2 -338.2)",1,0,99,"(-122.5, 8.2, -338.2)"
Spawn Point Wander,"Spawn Point (-115.7 0.0 -256.9)",1,0,99,"(-115.7, 0.0, -256.9)"
Spawn Point Wander,"Spawn Point (-215.2 2.7 -448.7)",1,0,99,"(-215.2, 2.7, -448.7)"
Spawn Point Wander,"Spawn Point (-279.1 0.1 -337.0)",1,0,99,"(-279.1, 0.1, -337.0)"
Spawn Point Wander,"Spawn Point (-256.7 -4.0 -295.2)",1,0,99,"(-256.7, -4.0, -295.2)"
Spawn Point Wander,"Spawn Point (-128.4 -4.0 -418.0)",1,0,99,"(-128.4, -4.0, -418.0)"
Spawn Point Wander,"Spawn Point (-269.3 -2.1 -387.7)",1,0,99,"(-269.3, -2.1, -387.7)"
Spawn Point Wander,"Spawn Point (-231.6 0.1 -286.7)",1,0,99,"(-231.6, 0.1, -286.7)"
Spawn Point Wander,"Spawn Point (-122.3 8.2 -336.1)",1,0,99,"(-122.3, 8.2, -336.1)"
Spawn Point Wander,"Spawn Point (-256.6 4.1 -282.4)",1,0,99,"(-256.6, 4.1, -282.4)"
Spawn Point Wander,"Spawn Point (-217.0 -4.0 -385.2)",1,0,99,"(-217.0, -4.0, -385.2)"
Spawn Point Wander,"Spawn Point (-279.6 0.1 -365.4)",1,0,99,"(-279.6, 0.1, -365.4)"
Spawn Point Wander,"Spawn Point (-279.6 0.1 -365.4)",1,0,99,"(-279.6, 0.1, -365.4)"
Spawn Point Wander,"Spawn Point (-184.6 0.1 -416.5)",1,0,99,"(-184.6, 0.1, -416.5)"
Spawn Point Wander,"Spawn Point (-244.8 -4.0 -414.8)",1,0,99,"(-244.8, -4.0, -414.8)"
Spawn Point Wander,"Spawn Point (-245.3 2.7 -452.9)",1,0,99,"(-245.3, 2.7, -452.9)"
Spawn Point Wander,"Spawn Point (-253.6 4.1 -376.3)",1,0,99,"(-253.6, 4.1, -376.3)"
Spawn Point Wander,"Spawn Point (-113.0 4.2 -416.8)",1,0,99,"(-113.0, 4.2, -416.8)"
Spawn Point Wander,"Spawn Point (-125.8 -5.0 -263.4)",1,0,99,"(-125.8, -5.0, -263.4)"
Spawn Point Wander,"Spawn Point (-134.8 -5.0 -263.9)",1,0,99,"(-134.8, -5.0, -263.9)"
Spawn Point Wander,"Spawn Point (-168.0 -4.0 -337.5)",1,0,99,"(-168.0, -4.0, -337.5)"
Spawn Point Wander,"Spawn Point (-120.6 0.0 -253.5)",1,0,99,"(-120.6, 0.0, -253.5)"
Spawn Point Wander,"Spawn Point (-112.0 4.2 -413.6)",1,0,99,"(-112.0, 4.2, -413.6)"
Spawn Point Wander,"Spawn Point (-157.6 2.7 -222.8)",1,0,99,"(-157.6, 2.7, -222.8)"
Spawn Point Wander,"Spawn Point (-125.4 4.1 -338.4)",1,0,99,"(-125.4, 4.1, -338.4)"
Spawn Point Wander,"Spawn Point (-269.9 -2.1 -390.8)",1,0,99,"(-269.9, -2.1, -390.8)"
Spawn Point Wander,"Spawn Point (-184.4 2.7 -222.8)",1,0,99,"(-184.4, 2.7, -222.8)"
Spawn Point Wander,"Spawn Point (-157.2 2.7 -227.0)",1,0,99,"(-157.2, 2.7, -227.0)"
Spawn Point Wander,"Spawn Point (-205.8 4.2 -289.1)",1,0,99,"(-205.8, 4.2, -289.1)"
Spawn Point Wander,"Spawn Point (-252.6 -4.0 -293.9)",1,0,99,"(-252.6, -4.0, -293.9)"
Spawn Point Wander,"Spawn Point (-179.4 0.1 -407.4)",1,0,99,"(-179.4, 0.1, -407.4)"
